iter	TotalF1	MultiClass
0	0.8732124342	1.488855685
1	0.8750885274	1.286247904
2	0.8750504122	1.139022767
3	0.8921883259	1.015337828
4	0.8921421896	0.9157260424
5	0.8934968146	0.8376954626
6	0.8926400342	0.7751065911
7	0.8929060233	0.7185654803
8	0.8927472338	0.6713059772
9	0.9047359797	0.6262385604
10	0.9048987596	0.5897469192
11	0.9053905112	0.5565484789
12	0.9148704991	0.5247757565
13	0.9242370404	0.496152558
14	0.9245416369	0.4722272656
15	0.9250843726	0.4495488569
16	0.9256911318	0.429605087
17	0.9264544686	0.4120084964
18	0.9266191898	0.3965577371
19	0.9267541948	0.3830402729
20	0.9269558188	0.3705230216
21	0.9283929441	0.3580324
22	0.9307417921	0.3463692969
23	0.9309168883	0.336492901
24	0.9314009957	0.3279556713
25	0.9314138753	0.3194792961
26	0.9315070486	0.3120436583
27	0.9321360798	0.3053213344
28	0.9333985354	0.3002774936
29	0.9337125061	0.2946035706
30	0.9358822098	0.2877013206
31	0.9359493483	0.2827273854
32	0.9359306142	0.2791866044
33	0.9360902722	0.2748444568
34	0.9362650824	0.2712911228
35	0.9362664385	0.2684056664
36	0.9364391222	0.2660542118
37	0.9364645867	0.2639643002
38	0.9365676023	0.2607201516
39	0.9366571334	0.2577097339
40	0.9367920183	0.2561469337
41	0.9372071758	0.2531300348
42	0.9377579784	0.2506658763
43	0.9382767096	0.2479454506
44	0.9387039795	0.2455055339
45	0.9387770344	0.2440828859
46	0.9389339351	0.2422082624
47	0.9390662589	0.2403417348
48	0.9394701553	0.2379097546
49	0.9397736845	0.2359916052
50	0.9398632716	0.2350977513
51	0.9399254596	0.2344103848
52	0.9403084439	0.232899775
53	0.940545455	0.2311584588
54	0.9408261735	0.2298901987
55	0.9409049652	0.2288771826
56	0.9410567019	0.2278048354
57	0.9412108521	0.2268374602
58	0.9414763423	0.2255764773
59	0.9416524373	0.2245397878
60	0.9416594411	0.2230522828
61	0.9418466981	0.2219097117
62	0.9420103167	0.2205504881
63	0.9420913034	0.2198473849
64	0.9422742122	0.2190301224
65	0.9423727017	0.2180120578
66	0.9424620607	0.2171624805
67	0.9425081415	0.2160523152
68	0.9428817175	0.2152077409
69	0.9429728706	0.2147282944
70	0.9430203846	0.214072083
71	0.9431422045	0.2134183503
72	0.9432270258	0.2125634062
73	0.9432755668	0.2119367352
74	0.9433379007	0.2107361066
75	0.9435294598	0.2100940855
76	0.9436306433	0.2096860455
77	0.9437015174	0.2090146204
78	0.9438864633	0.207903591
79	0.9439993715	0.2073406854
80	0.9443467236	0.2063235077
81	0.9444548041	0.2056690928
82	0.9444515491	0.204932424
83	0.9445281262	0.2043004089
84	0.9444925899	0.2036588426
85	0.9446270619	0.2029052547
86	0.9447184015	0.2025184092
87	0.9447834419	0.2021145308
88	0.944871382	0.2013157339
89	0.945120847	0.2008484767
90	0.9451905514	0.2003739878
91	0.945292454	0.1997766298
92	0.9453963332	0.1990664087
93	0.9454596653	0.1987024406
94	0.9454744992	0.1982610852
95	0.9457357085	0.1978540685
96	0.9457330169	0.1971635638
97	0.9458484575	0.1968012558
98	0.9458971255	0.1963335437
99	0.9460249591	0.1959080614
100	0.9460873381	0.1954922441
101	0.9460774286	0.1949715229
102	0.9461871798	0.1944832303
103	0.9463663701	0.1937465843
104	0.9464342779	0.1931293963
105	0.9465090188	0.1925515955
106	0.9465779328	0.1921427596
107	0.9465698073	0.1912783097
108	0.9466275278	0.1908489387
109	0.9466960694	0.1904649586
110	0.946880105	0.1895773472
111	0.9469369776	0.1892833869
112	0.9470264251	0.1887779704
113	0.9470936748	0.1882292325
114	0.9471345819	0.1878486862
115	0.9472734905	0.18723226
116	0.9474394688	0.1869135463
117	0.9475230015	0.18660037
118	0.9474722934	0.1860364411
119	0.9476332194	0.185541042
120	0.9476018526	0.1851261683
121	0.9476989344	0.1845519379
122	0.9477309869	0.1841610104
123	0.9477645036	0.183952681
124	0.9479331427	0.1835515315
125	0.9479563337	0.1833114217
126	0.9480457641	0.1828733637
127	0.9480753217	0.1823494361
128	0.9483417645	0.1819277971
129	0.948369571	0.1815861833
130	0.9484200766	0.1811952103
131	0.9484663646	0.1809174757
132	0.9485344751	0.1805575214
133	0.9486757218	0.1798787396
134	0.9487333704	0.1796502618
135	0.9487779712	0.179428629
136	0.9488855052	0.1788504074
137	0.9489011599	0.1784415374
138	0.9489342664	0.1781763671
139	0.9489441145	0.1778480909
140	0.9490154508	0.1774721042
141	0.9490250941	0.1772647754
142	0.9491160352	0.1767518316
143	0.9491155761	0.1766223336
144	0.9492902389	0.1762819137
145	0.9492802559	0.1760669439
146	0.9492805138	0.1757900962
147	0.9491849138	0.175545279
148	0.949276097	0.1753348802
149	0.9494160885	0.1749711168
150	0.9494127663	0.1747118591
151	0.9494470874	0.1745362198
152	0.9494806203	0.1741261672
153	0.9495273556	0.1735684694
154	0.9496171657	0.1733093255
155	0.9497201126	0.1729933634
156	0.9497366003	0.1726926263
157	0.9497822583	0.17247113
158	0.9499152585	0.1722232542
159	0.9500183133	0.1719763676
160	0.9500240847	0.1717042158
161	0.9500869317	0.17153068
162	0.9501583393	0.1712820538
163	0.9502256101	0.170916255
164	0.950259364	0.1708072237
165	0.9503501877	0.1705776771
166	0.950338089	0.1704099288
167	0.9504417765	0.1701218016
168	0.9505332373	0.1698749605
169	0.9505665337	0.1696153049
170	0.9506116656	0.1694375166
171	0.9506502119	0.1691797712
172	0.9507282591	0.1689282568
173	0.950761855	0.1686399704
174	0.9507925899	0.1683333208
175	0.9507807413	0.1681414671
176	0.9508506801	0.1678422879
177	0.9509917889	0.1675111462
178	0.9509801658	0.1672874667
