iter	Passed	Remaining
0	325	97471
1	413	61625
2	508	50367
3	596	44136
4	683	40313
5	769	37707
6	859	35958
7	946	34563
8	1031	33355
9	1121	32516
10	1209	31768
11	1293	31033
12	1379	30463
13	1459	29822
14	1539	29248
15	1619	28752
16	1700	28316
17	1780	27896
18	1855	27446
19	1939	27158
20	2012	26743
21	2093	26451
22	2179	26245
23	2260	25995
24	2337	25707
25	2411	25414
26	2474	25019
27	2542	24699
28	2600	24304
29	2668	24015
30	2732	23710
31	2804	23487
32	2864	23176
33	2939	23000
34	3009	22786
35	3077	22567
36	3137	22298
37	3195	22029
38	3265	21853
39	3323	21600
40	3386	21391
41	3451	21200
42	3516	21018
43	3587	20872
44	3650	20685
45	3717	20525
46	3783	20367
47	3848	20202
48	3921	20088
49	3998	19990
50	4055	19799
51	4114	19624
52	4183	19494
53	4255	19384
54	4327	19278
55	4389	19124
56	4458	19005
57	4514	18835
58	4576	18694
59	4638	18555
60	4713	18467
61	4778	18344
62	4853	18259
63	4916	18128
64	4987	18033
65	5058	17934
66	5123	17816
67	5192	17715
68	5254	17591
69	5313	17458
70	5379	17350
71	5442	17233
72	5507	17127
73	5575	17026
74	5649	16948
75	5713	16838
76	5771	16714
77	5834	16607
78	5899	16505
79	5968	16413
80	6043	16339
81	6106	16234
82	6168	16128
83	6229	16018
84	6292	15915
85	6354	15811
86	6412	15699
87	6471	15590
88	6542	15509
89	6609	15423
90	6676	15333
91	6743	15245
92	6817	15175
93	6874	15066
94	6937	14971
95	7003	14882
96	7075	14808
97	7136	14709
98	7202	14624
99	7270	14540
100	7338	14459
101	7402	14369
102	7465	14278
103	7538	14206
104	7605	14125
105	7670	14038
106	7729	13941
107	7798	13863
108	7870	13791
109	7939	13713
110	8016	13649
111	8080	13563
112	8168	13517
113	8231	13430
114	8293	13342
115	8362	13264
116	8424	13176
117	8487	13091
118	8559	13018
119	8625	12938
120	8695	12864
121	8765	12789
122	8829	12705
123	8896	12627
124	8959	12542
125	9021	12458
126	9090	12382
127	9154	12301
128	9221	12223
129	9284	12141
130	9348	12060
131	9408	11974
132	9469	11889
133	9542	11820
134	9604	11738
135	9703	11701
136	9777	11633
137	9841	11553
138	9901	11468
139	9967	11391
140	10031	11311
141	10093	11231
142	10159	11154
143	10217	11069
144	10280	10989
145	10342	10909
146	10402	10826
147	10467	10749
148	10526	10668
149	10595	10595
150	10651	10510
151	10706	10425
152	10768	10346
153	10840	10277
154	10899	10196
155	10963	10120
156	11022	10039
157	11083	9960
158	11150	9888
159	11207	9806
160	11271	9730
161	11328	9650
162	11393	9575
163	11453	9498
164	11511	9418
165	11571	9341
166	11637	9268
167	11702	9194
168	11767	9121
169	11826	9043
170	11886	8967
171	11951	8893
172	12013	8818
173	12079	8747
174	12150	8678
175	12210	8602
176	12267	8524
177	12334	8453
178	12400	8382
